Unidade da Federação,Renda_Per_Capita,Taxa_Alfabetizacao
Rondônia,1365,92.0
Acre,1038,87.9
Amazonas,1116,91.8
Roraima,1242,93.5
Pará,1061,90.4
Amapá,1177,95.0
Tocantins,1379,92.3
Maranhão,943,83.7
Piauí,1110,84.0
Ceará,1050,86.2
Rio Grande do Norte,1267,86.1
Paraíba,1096,84.0
Pernambuco,1010,85.5
Alagoas,935,82.3
Sergipe,1187,84.9
Bahia,1010,86.5
Minas Gerais,1529,94.5
Espírito Santo,1723,94.8
Rio de Janeiro,2149,96.3
São Paulo,2148,96.9
Paraná,1881,95.7
Santa Catarina,2269,97.3
Rio Grande do Sul,2085,96.5
Mato Grosso do Sul,1839,94.6
Mato Grosso,1921,94.1
Goiás,1619,94.4
Distrito Federal,2913,97.3
